OID_,MAX,Avg_Cap
1,4.150000095,2.3
2,3.949999809,2.3
3,3.949999809,2.3
4,4.349999905,2.3
5,4.75,2.3
6,3.75,2.3
7,3.549999952,2.3
8,4.349999905,2.3
9,3.75,2.3
10,3.949999809,2.3
11,3.949999809,2.3
12,3.349999905,2.3
13,3.949999809,2.3
14,3.549999952,2.3
15,3.75,2.3
16,4.150000095,2.3
17,3.549999952,2.3
18,4.75,2.3
19,3.949999809,2.3
20,4.150000095,2.3
21,3.549999952,2.3
22,3.700000048,0.034
23,4.050000191,3.3
24,3.849999905,3.3
25,3.849999905,3.3
26,3.849999905,3.3
27,4.050000191,3.3
28,4.050000191,3.3
29,3.799999714,3.3
30,3.849999905,3.3
31,4.050000191,3.3
32,4.050000191,3.3
33,3.849999905,3.3
34,3.849999905,3.3
35,4.050000191,3.3
36,4.050000191,3.3
37,3.849999905,3.3
38,4.25,3.3
39,3.849999905,3.3
40,4.050000191,3.3
41,4.050000191,3.3
42,4.400000095,3.3
43,4.050000191,3.3
44,3.849999905,3.3
45,3.5,3.3
46,3.849999905,3.3
47,4.400000095,3.3
48,4.450000286,3.3
49,4.450000286,3.3
50,3.799999714,3.3
51,3.849999905,3.3
52,4.450000286,3.3
53,3.849999905,3.3
54,4.050000191,3.3
55,3.849999905,3.3
56,3.999999762,3.3
57,4.199999809,3.3
58,4.400000095,3.3
59,4.050000191,3.3
60,3.849999905,3.3
61,4.050000191,3.3
62,3.849999905,3.3
63,4.050000191,3.3
64,4.050000191,3.3
65,4.450000286,3.3
66,3.999999762,3.3
67,4.050000191,3.3
68,4.050000191,3.3
69,4.050000191,3.3
70,4.050000191,3.3
71,3.849999905,3.3
72,3.849999905,3.3
73,4.050000191,3.3
74,3.849999905,3.3
75,3.999999762,3.3
76,3.75,3.3
77,4.150000095,1.785714286
78,3.949999809,1.785714286
79,4.75,1.785714286
80,4.349999905,1.785714286
81,4.150000095,1.785714286
82,3.75,1.785714286
83,3.75,1.785714286
84,4.349999905,1.785714286
85,3.549999952,1.785714286
86,3.949999809,1.785714286
87,3.949999809,1.785714286
88,3.75,1.785714286
89,3.949999809,1.785714286
90,3.949999809,1.785714286
91,3.949999809,1.785714286
92,3.949999809,1.785714286
93,3.549999952,1.785714286
94,4.550000191,1.785714286
95,3.949999809,1.785714286
96,3.75,1.785714286
97,4.349999905,1.785714286
98,4.150000095,1.785714286
99,3.549999952,1.785714286
100,4.550000191,1.785714286
101,4.150000095,1.785714286
102,4.75,1.785714286
103,3.950000048,1.785714286
104,3.949999809,1.785714286
105,3.75,1.785714286
106,3.75,1.785714286
107,3.549999952,1.785714286
108,3.75,1.785714286
109,3.549999952,1.785714286
110,4.75,1.785714286
111,3.949999809,1.785714286
112,3.549999952,1.785714286
113,4.75,1.785714286
114,4.349999905,1.785714286
115,4.349999905,1.785714286
116,4.349999905,1.785714286
117,4.150000095,1.785714286
118,4.150000095,1.785714286
119,3.549999952,1.785714286
120,4.75,1.785714286
121,4.550000191,1.785714286
122,4.349999905,1.785714286
123,3.950000048,1.785714286
124,3.949999809,1.785714286
125,4.349999905,1.785714286
126,3.75,1.785714286
127,4.150000095,1.785714286
128,4.349999905,1.785714286
129,3.949999809,1.785714286
130,3.549999952,1.785714286
131,4.150000095,1.785714286
132,3.549999952,1.785714286
133,3.549999952,1.785714286
134,3.949999809,1.785714286
